Idx,Filename,Size_MB,Operation,Serial_s,OMP_2,OMP_4,OMP_8,CU_128,CU_256,CU_512
23,sample23.txt,0.0948277,Encryption,0.0136542,0.0083651,0.0039983,0.0055666,0.0010116,0.0009169,0.0009186
23,sample23.txt,0.0948277,Decryption,0.0132248,0.0090537,0.0041017,0.0050514,0.0010129,0.0009189,0.0008564
24,sample24.txt,0.108922,Encryption,0.0163213,0.0095005,0.0047991,0.006803,0.0009628,0.001022,0.0013748
24,sample24.txt,0.108922,Decryption,0.0153165,0.0095087,0.0044142,0.0047825,0.0034907,0.000935,0.0008568
25,sample25.txt,0.125111,Encryption,0.017952,0.0106279,0.0055663,0.005087,0.0010747,0.0009323,0.0009021
25,sample25.txt,0.125111,Decryption,0.0174488,0.0104636,0.005058,0.0052822,0.0010481,0.0008276,0.0007766
26,sample26.txt,0.143706,Encryption,0.0205512,0.0117651,0.0055715,0.0056723,0.001099,0.0009229,0.0008754
26,sample26.txt,0.143706,Decryption,0.0200822,0.0117095,0.006147,0.0081563,0.0009913,0.0008351,0.0008562
27,sample27.txt,0.165065,Encryption,0.0231546,0.0134229,0.0069312,0.0062152,0.0011591,0.0009944,0.0009068
27,sample27.txt,0.165065,Decryption,0.0232849,0.013395,0.0064425,0.0078518,0.0011109,0.0009052,0.000838
28,sample28.txt,0.189598,Encryption,0.0278724,0.0155585,0.0076541,0.0070612,0.0011757,0.0010366,0.0010076
28,sample28.txt,0.189598,Decryption,0.0293487,0.015886,0.0079564,0.0094085,0.0011115,0.0009267,0.0008686
29,sample29.txt,0.217779,Encryption,0.032374,0.0184791,0.0091414,0.0146415,0.0012056,0.0009991,0.0009892
29,sample29.txt,0.217779,Decryption,0.0326919,0.0194811,0.0096498,0.0089384,0.0012659,0.0011778,0.0010778
30,sample30.txt,0.250148,Encryption,0.040342,0.0223941,0.0136637,0.0130006,0.0012331,0.0010955,0.0010215
30,sample30.txt,0.250148,Decryption,0.0414045,0.0235504,0.0151942,0.0127085,0.0012664,0.0011258,0.0010819
31,sample31.txt,0.287327,Encryption,0.0488036,0.0261548,0.0136329,0.0186842,0.0013798,0.0010785,0.0010813
31,sample31.txt,0.287327,Decryption,0.0505015,0.0273188,0.0137201,0.0134137,0.0013499,0.0010689,0.0010969
32,sample32.txt,0.330033,Encryption,0.0575161,0.0306492,0.0163503,0.0195911,0.0012894,0.0010987,0.0011124
32,sample32.txt,0.330033,Decryption,0.0618287,0.0330122,0.016726,0.0147336,0.0016726,0.0013812,0.0012834
33,sample33.txt,0.379086,Encryption,0.0694981,0.0364281,0.0201033,0.020589,0.001443,0.0012137,0.0012214
33,sample33.txt,0.379086,Decryption,0.0677233,0.0369383,0.0188788,0.0165779,0.0014565,0.001229,0.0011727
34,sample34.txt,0.43543,Encryption,0.0845561,0.0428364,0.0218696,0.0307456,0.0013498,0.0016592,0.0017536
34,sample34.txt,0.43543,Decryption,0.0806275,0.0438885,0.0214649,0.0218727,0.0014508,0.0016976,0.0015963
35,sample35.txt,0.500148,Encryption,0.0947621,0.0509278,0.0240446,0.0251171,0.0019259,0.0016835,0.0016529
35,sample35.txt,0.500148,Decryption,0.0989531,0.0503851,0.0380499,0.022637,0.0021709,0.0019939,0.0019293
36,sample36.txt,0.574485,Encryption,0.110026,0.0575218,0.0282186,0.031994,0.0028436,0.0016976,0.0017306
36,sample36.txt,0.574485,Decryption,0.108548,0.0556065,0.029902,0.0292491,0.0019963,0.0016827,0.0016435
37,sample37.txt,0.659871,Encryption,0.126884,0.0622852,0.0309985,0.0266662,0.0021727,0.0020073,0.0019466
37,sample37.txt,0.659871,Decryption,0.142007,0.0661875,0.0328319,0.0346152,0.0021347,0.0017659,0.0018556
38,sample38.txt,0.757948,Encryption,0.140878,0.0728511,0.0357806,0.030788,0.002169,0.0020116,0.0019109
38,sample38.txt,0.757948,Decryption,0.137219,0.0725656,0.0352876,0.0356301,0.0020992,0.001874,0.0021064
39,sample39.txt,0.870602,Encryption,0.161684,0.0817997,0.0428233,0.0420981,0.0023971,0.0028198,0.0028098
39,sample39.txt,0.870602,Decryption,0.161753,0.0863006,0.0406154,0.0436528,0.0026263,0.0028979,0.0029446
40,sample40.txt,1,Encryption,0.180537,0.0912512,0.0455609,0.0519654,0.0041727,0.0037883,0.0038739
40,sample40.txt,1,Decryption,0.174322,0.0925832,0.0468057,0.0364037,0.003975,0.0037493,0.0039244
41,sample41.txt,1.15001,Encryption,0.206623,0.106273,0.0524461,0.0431955,0.0044716,0.0039415,0.0041712
41,sample41.txt,1.15001,Decryption,0.21095,0.106053,0.0520928,0.0507541,0.0043054,0.0040619,0.004125
42,sample42.txt,1.32092,Encryption,0.235561,0.119788,0.0606235,0.0503765,0.0043931,0.004727,0.0047768
42,sample42.txt,1.32092,Decryption,0.235255,0.117448,0.0599101,0.0718405,0.0046506,0.0050608,0.0049058
43,sample43.txt,1.51725,Encryption,0.26413,0.130943,0.0680627,0.0548931,0.0054031,0.005355,0.0079932
43,sample43.txt,1.51725,Decryption,0.268047,0.137631,0.0675764,0.0677902,0.0055075,0.0054813,0.0052672
44,sample44.txt,1.74276,Encryption,0.30819,0.153693,0.0756064,0.0712466,0.0057027,0.0059445,0.0059225
44,sample44.txt,1.74276,Decryption,0.300523,0.150783,0.0765459,0.0866093,0.0057335,0.0102285,0.005714
45,sample45.txt,2.00179,Encryption,0.351874,0.208682,0.0866352,0.0833712,0.0070007,0.0097855,0.0068582
45,sample45.txt,2.00179,Decryption,0.350096,0.17364,0.0877664,0.0619788,0.0067019,0.0068614,0.0065037
46,sample46.txt,2.29931,Encryption,0.410214,0.203519,0.101763,0.0746373,0.0078852,0.0076294,0.0075206
46,sample46.txt,2.29931,Decryption,0.539268,0.329528,0.296245,0.149851,0.0075997,0.0072735,0.0073981
